EVENT_HEADLINE,EVENT_ARENA,EVENT_LOCATION,FIGHTERS_DIVISION,EVENT_CARD,FIGHTER1,FIGHTER1_IMAGE,FIGHTER1_COUNTRY,FIGHTER1_ODD,FIGHTER2,FIGHTER2_IMAGE,FIGHTER2_COUNTRY,FIGHTER2_ODD,EVENT_DATETIME,EVENT_COVER_IMAGE
UFC 304,Co-op Live,Manchester United Kingdom,Welterweight Title Bout,Main Card,Leon Edwards,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/EDWARDS_LEON_BELT_L_07-27.png?itok=GjuJNMYN,England,"
-250
",Belal Muhammad,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/MUHAMMAD_BELAL_R_07-27.png?itok=TTy00aqH,,"
+205
","Sun, Jul 28 / 4:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Heavyweight Interim Title Bout,Main Card,Tom Aspinall,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/ASPINALL_TOM_BELT_L_07-27.png?itok=R0bmd1U2,England,"
-355
",Curtis Blaydes,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/BLAYDES_CURTIS_R_07-27.png?itok=lSBWRp-V,United States,"
+280
","Sun, Jul 28 / 4:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Lightweight Bout,Main Card,King Green,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/GREEN_KING_L_07-27.png?itok=Jyjz6h2O,United States,"
-125
",Paddy Pimblett,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/PIMBLETT_PADDY_R_07-27.png?itok=ErFHldVX,England,"
+105
","Sun, Jul 28 / 4:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Middleweight Bout,Main Card,Christian Leroy Duncan,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/DUNCAN_CHRISTIAN_LEROY_L_07-27.png?itok=CS75_UMw,England,"
-142
",Gregory Rodrigues,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-06/eb3ddab2-8ca0-47b9-b531-e890a58efa2c%252FRODRIGUES_GREGORY_R_06-18.png?itok=IKumswEz,Brazil,"
+120
","Sun, Jul 28 / 4:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Featherweight Bout,Main Card,Arnold Allen,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/ALLEN_ARNOLD_L_07-27.png?itok=VDfFLA_A,England,"
-238
",Giga Chikadze,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/CHIKADZE_GIGA_R_07-27.png?itok=f1tWV4Tg,Georgia,"
+195
","Sun, Jul 28 / 4:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Featherweight Bout,Prelims,Nathaniel Wood,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/WOOD_NATHANIEL_L_07-27.png?itok=KwKnFoMB,England,"
-425
",Daniel Pineda,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/PINEDA_DANIEL_R_07-27.png?itok=x-id0krR,United States,"
+330
","Sun, Jul 28 / 2:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Women's Strawweight Bout,Prelims,Molly McCann,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/MCCANN_MOLLY_L_07-27.png?itok=EefdWkL5,England,"
-360
",Bruna Brasil,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/BRASIL_BRUNA_R_07-27.png?itok=GSOcnWNT,Brazil,"
+285
","Sun, Jul 28 / 2:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Bantamweight Bout,Prelims,Jake Hadley,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/HADLEY_JAKE_L_07-27.png?itok=RwBdxBre,England,"
-218
",Caolán Loughran,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/LOUGHRAN_CAOLAN_R_07-27.png?itok=R41tQHnw,Ireland,"
+180
","Sun, Jul 28 / 2:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Light Heavyweight Bout,Prelims,Modestas Bukauskas,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/BUKAUSKAS_MODESTAS_L_07-27.png?itok=HFIAH3Tv,Lithuania,"
-155
",Marcin Prachnio,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/PRACHNIO_MARCIN_R_07-27.png?itok=843qsQUS,Poland,"
+130
","Sun, Jul 28 / 2:00 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
UFC 304,Co-op Live,Manchester United Kingdom,Welterweight Bout,Early Prelims,Oban Elliott,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/ELLIOTT_OBAN_L_07-27.png?itok=E_vRXTGx,Wales,"
+120
",Preston Parsons,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/PARSONS_PRESTON_R_07-27.png?itok=3_SvdqU_,United States,"
-142
","Sun, Jul 28 / 12:15 AM SAST",https://dmxg5wxfqgb4u.cloudfront.net/styles/background_image_sm/s3/2024-06/072724-ufc-304-edwards-vs-muhammad-2-EVENT-ART.jpg?h=d1cb525d&itok=tL86i44A
